código,descriptor_es,descriptor_en
8000/0,"Neoplasia, benigna","Neoplasm, benign"
8000/1,"Neoplasia, benignidad o malignidad incierta","Neoplasm, uncertain whether benign or malignant"
8000/3,"Neoplasia, maligna","Neoplasm, malignant"
8000/31,"Neoplasia, maligna - grado I, bien diferenciado","Neoplasm, malignant - grade I, well differentiated"
8000/32,"Neoplasia, maligna - grado II, moderadamente diferenciado","Neoplasm, malignant - grade II, moderately differentiated"
8000/33,"Neoplasia, maligna - grado III, pobremente diferenciado","Neoplasm, malignant - grade III, poorly differentiated"
8000/34,"Neoplasia, maligna - grado IV, indiferenciado","Neoplasm, malignant - grade IV, undifferentiated"
8000/39,"Neoplasia, maligna - grado o diferenciación sin determinar o sin asignar, o no procede","Neoplasm, malignant - grade or differentiation not determined or not assigned, or not applicable"
8000/6,"Neoplasia, metastásica","Neoplasm, metastatic"
8000/9,"Neoplasia, maligna, sin certeza de si es primaria o metastásica","Neoplasm, malignant, uncertain whether primary or metastatic"
8001/0,"Células tumorales, benignas","Tumor cells, benign"
8001/1,"Células tumorales, sin certeza de si son benignas o malignas","Tumor cells, uncertain whether benign or malignant"
8001/3,"Células tumorales, malignas","Tumor cells, malignant"
8001/31,"Células tumorales, malignas - grado I, bien diferenciado","Tumor cells, malignant - grade I, well differentiated"
8001/32,"Células tumorales, malignas - grado II, moderadamente diferenciado","Tumor cells, malignant - grade II, moderately differentiated"
8001/33,"Células tumorales, malignas - grado III, pobremente diferenciado","Tumor cells, malignant - grade III, poorly differentiated"
8001/34,"Células tumorales, malignas - grado IV, indiferenciado","Tumor cells, malignant - grade IV, undifferentiated"
8001/39,"Células tumorales, malignas - grado o diferenciación sin determinar o sin asignar, o no procede","Tumor cells, malignant - grade or differentiation not determined or not assigned, or not applicable"
8001/6,"Células tumorales, malignas, metástasis","Tumor cells, malignant, metastasis"
8002/3,"Tumor maligno, tipo células pequeñas","Malignant tumor, small cell type"
8002/31,"Tumor maligno, tipo células pequeñas - grado I, bien diferenciado","Malignant tumor, small cell type - grade I, well differentiated"
8002/32,"Tumor maligno, tipo células pequeñas - grado II, moderadamente diferenciado","Malignant tumor, small cell type - grade II, moderately differentiated"
8002/33,"Tumor maligno, tipo células pequeñas - grado III, pobremente diferenciado","Malignant tumor, small cell type - grade III, poorly differentiated"
8002/34,"Tumor maligno, tipo células pequeñas - grado IV, indiferenciado","Malignant tumor, small cell type - grade IV, undifferentiated"
8002/39,"Tumor maligno, tipo células pequeñas - grado o diferenciación sin determinar o sin asignar, o no procede","Malignant tumor, small cell type - grade or differentiation not determined or not assigned, or not applicable"
8002/6,"Tumor maligno, tipo células pequeñas, metástasis","Malignant tumor, small cell type, metastasis"
8003/3,"Tumor maligno, tipo células gigantes","Malignant tumor, giant cell type"
8003/31,"Tumor maligno, tipo células gigantes - grado I, bien diferenciado","Malignant tumor, giant cell type - grade I, well differentiated"
8003/32,"Tumor maligno, tipo células gigantes - grado II, moderadamente diferenciado","Malignant tumor, giant cell type - grade II, moderately differentiated"
8003/33,"Tumor maligno, tipo células gigantes - grado III, pobremente diferenciado","Malignant tumor, giant cell type - grade III, poorly differentiated"
8003/34,"Tumor maligno, tipo células gigantes - grado IV, indiferenciado","Malignant tumor, giant cell type - grade IV, undifferentiated"
8003/39,"Tumor maligno, tipo células gigantes - grado o diferenciación sin determinar o sin asignar, o no procede","Malignant tumor, giant cell type - grade or differentiation not determined or not assigned, or not applicable"
